session_id,src_ip,num_commands,duration_sec,commands,label_id,label_name,mitre_tactic_reconnaissance,mitre_tactic_resource_development,mitre_tactic_initial_access,mitre_tactic_execution,mitre_tactic_persistence,mitre_tactic_privilege_escalation,mitre_tactic_defense_evasion,mitre_tactic_credential_access,mitre_tactic_discovery,mitre_tactic_lateral_movement,mitre_tactic_collection,mitre_tactic_command_and_control,mitre_tactic_exfiltration,mitre_tactic_impact,mitre_severity_max,mitre_severity_mean,mitre_severity_weighted,mitre_kill_chain_score,mitre_unique_technique_count,mitre_total_commands,mitre_matched_commands,triage_file_size,triage_entropy,triage_priority,triage_is_go,triage_is_packed,triage_is_stripped,triage_is_dll,triage_is_static,triage_score_mining,triage_score_botnet,triage_score_recon,triage_score_destructive,ghidra_function_count,ghidra_total_instructions,ghidra_total_basic_blocks,ghidra_max_function_size,ghidra_avg_callers,ghidra_max_callers,ghidra_mining_pool_count,ghidra_crypto_wallet_count,ghidra_ip_count,ghidra_url_count,ghidra_shell_cmd_count,ghidra_file_path_count,ghidra_imports_file_io,ghidra_imports_process,ghidra_imports_network,ghidra_imports_crypto,ghidra_imports_evasion,ghidra_has_aes_sbox,ghidra_has_sha256_constants,ghidra_has_rc4_state,ghidra_has_xor_loop,ghidra_go_user_functions,ghidra_go_runtime_functions,angr_basic_blocks,angr_edges,angr_functions_recovered,angr_cyclomatic_complexity,angr_function_count,angr_user_functions_listed,angr_syscalls_network,angr_syscalls_file_io,angr_syscalls_process,angr_syscalls_memory,angr_ip_count,angr_url_count,angr_mining_indicator_count,angr_shell_cmd_count,angr_has_network,angr_has_file_manipulation,angr_has_process_control,angr_has_crypto,angr_has_mining,angr_has_persistence,angr_has_evasion,angr_has_shell_execution,angr_complexity_tier,angr_is_partial,angr_loaded_as_blob,script_line_count,script_url_count,script_download_count,script_arch_count,script_is_downloader,script_is_multi_arch,script_is_miner,script_has_persistence,script_has_anti_forensics,has_ghidra_results,has_angr_results,has_script_results,deep_func_ratio_angr_ghidra,deep_mining_signal_count,deep_total_network_indicators,deep_total_crypto_indicators,deep_max_complexity,deep_total_evasion_indicators,deep_is_go_consensus,num_downloads,download_shas
synth_safe_329258,60.13.101.184,1,781.6119031465303,ls -la,0,Safe,0.0,0.0,0.0,0.12244592690173811,0.0,0.0,0.0,0.0,0.1395379285251439,0.0,0.0,0.0,0.0,0.0,0.3074855285145225,1.4813354893353516,1.0907330674966995,0.5904925124490397,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
synth_safe_946335,12.235.63.250,5,1107.142969573651,tail -f /var/log/auth.log; wc -l /etc/hosts; groups; awk '{print $1}' /etc/passwd | head; apt list --installed | head,0,Safe,0.0,0.0,0.0,0.17012525825899594,0.0,0.0,0.0,0.0,0.15547949981178155,0.0,0.0,0.0,0.0,0.0,2.8716392166203435,0.6731890902252535,0.18549168676029582,0.09671637683346401,1,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
synth_safe_498591,72.232.186.42,1,447.36625570467476,ps,0,Safe,0.0,0.0,0.0,0.4427258739684034,0.0,0.0,0.0,0.0,0.3616350261669765,0.0,0.0,0.0,0.0,0.0,0.5768657707699797,0.13911029764748184,1.3225266371354203,0.7730683407886919,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
synth_safe_817870,84.28.117.211,2,43.359791465325124,df -h; curl -I https://google.com,0,Safe,0.0,0.0,0.0,0.3045655028334941,0.0,0.0,0.0,0.0,0.171138648198097,0.0,0.0,0.0,0.0,0.0,2.1873803938510474,0.3268049875238568,0.7589108835152956,0.9895233506365952,2,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
synth_safe_881177,144.134.219.230,3,702.3218453100592,head -10 /var/log/syslog; cd ~; unzip -l archive.zip,0,Safe,0.0,0.0,0.0,0.43818381323633443,0.0,0.0,0.0,0.0,0.3146778807984779,0.0,0.0,0.0,0.0,0.0,1.9663159958846401,0.7912638021213285,1.829095179481087,0.4588518525873988,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
synth_safe_590785,136.128.5.175,3,866.2625741354326,date; python3 --version; rmdir testdir,0,Safe,0.0,0.0,0.0,0.3778910787668689,0.0,0.0,0.0,0.0,0.8611029096666658,0.0,0.0,0.0,0.0,0.0,0.4585239580447832,0.3199640034449005,1.3609624269926541,0.5964090307319738,1,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
synth_safe_632323,156.101.78.96,5,916.2004060898057,openssl version; dpkg -l | head; printenv; echo $HOME; ls /opt,0,Safe,0.0,0.0,0.0,0.47690796376054007,0.0,0.0,0.0,0.0,0.8758529403781941,0.0,0.0,0.0,0.0,0.0,0.7901671522532723,1.0011722261005966,0.35730376106026274,0.9126278393448205,2,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
synth_safe_609597,209.35.64.33,5,793.402233183104,help; gzip -l file.gz; gzip -l file.gz; pgrep nginx; touch testfile.txt,0,Safe,0.0,0.0,0.0,0.46454930813230855,0.0,0.0,0.0,0.0,0.8787218778231842,0.0,0.0,0.0,0.0,0.0,2.4949965880835383,0.6150282508053229,0.1158503329883751,0.8780095992040405,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
synth_safe_454508,6.117.112.2,5,89.83673778079388,uname -a && cp file1 file2 && systemctl status sshd && bash --version && gzip -l file.gz,0,Safe,0.0,0.0,0.0,0.3564744864095609,0.0,0.0,0.0,0.0,0.39899229999742913,0.0,0.0,0.0,0.0,0.0,2.0150608789148494,0.7468410050585876,1.799228169285891,0.45148614139112975,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
synth_safe_354801,201.242.208.49,1,117.71932680779925,date,0,Safe,0.0,0.0,0.0,0.42981770012687326,0.0,0.0,0.0,0.0,0.07085734988865344,0.0,0.0,0.0,0.0,0.0,0.7140139031069856,1.3379555565925612,0.4284736147408772,0.132311848725025,2,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
